Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Race/ethnicity,Cost burden
T9_est32,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Hispanic, any race",not computed (no/negative income)
T9_est33,2015,50,23,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied,"other (including multiple races, non-Hispanic)",All
T9_est34,2015,40,23,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",less than or equal to 30%
T9_est35,2015,4,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",greater than 30% but less than or equal to 50%
T9_est36,2015,4,15,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",greater than 50%
T9_est37,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",not computed (no/negative income)
T9_est38,2015,540,90,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,All,All
T9_est39,2015,255,60,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,"White alone, non-Hispanic",All
T9_est40,2015,150,47,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"White alone, non-Hispanic",less than or equal to 30%
T9_est41,2015,35,22,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"White alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est42,2015,50,33,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"White alone, non-Hispanic",greater than 50%
T9_est43,2015,20,13,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"White alone, non-Hispanic",not computed (no/negative income)
T9_est44,2015,260,64,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,"Black or African-American alone, non-Hispanic",All
T9_est45,2015,170,51,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",less than or equal to 30%
T9_est46,2015,45,37,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est47,2015,40,26,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",greater than 50%
T9_est48,2015,4,3,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",not computed (no/negative income)
T9_est49,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,"Asian alone, non-Hispanic",All
T9_est50,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Asian alone, non-Hispanic",less than or equal to 30%
T9_est51,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Asian alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est52,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Asian alone, non-Hispanic",greater than 50%
T9_est53,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Asian alone, non-Hispanic",not computed (no/negative income)
T9_est54,2015,15,11,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",All
T9_est55,2015,10,8,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",less than or equal to 30%
T9_est56,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est57,2015,4,9,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 50%
T9_est58,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",not computed (no/negative income)
T9_est59,2015,4,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,"Pacific Islander alone, non-Hispanic",All
T9_est60,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",less than or equal to 30%
T9_est61,2015,4,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est62,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",greater than 50%
T9_est63,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",not computed (no/negative income)
T9_est64,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,"Hispanic, any race",All
T9_est65,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Hispanic, any race",less than or equal to 30%
T9_est66,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Hispanic, any race",greater than 30% but less than or equal to 50%
T9_est67,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Hispanic, any race",greater than 50%
T9_est68,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"Hispanic, any race",not computed (no/negative income)
T9_est69,2015,4,5,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,"other (including multiple races, non-Hispanic)",All
T9_est70,2015,4,5,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",less than or equal to 30%
T9_est71,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",greater than 30% but less than or equal to 50%
T9_est72,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",greater than 50%
T9_est73,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",not computed (no/negative income)
T9_est1,2015,116795,807,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Total,Total: Occupied housing units,All,All
T9_est2,2015,89150,989,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Owner occupied,All,All
T9_est3,2015,66120,795,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Owner occupied,"White alone, non-Hispanic",All
T9_est4,2015,53170,833,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"White alone, non-Hispanic",less than or equal to 30%
T9_est5,2015,8325,578,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"White alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est6,2015,4460,379,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"White alone, non-Hispanic",greater than 50%
T9_est7,2015,170,82,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"White alone, non-Hispanic",not computed (no/negative income)
T9_est8,2015,15435,529,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Owner occupied,"Black or African-American alone, non-Hispanic",All
T9_est9,2015,10935,458,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",less than or equal to 30%
T9_est10,2015,2825,349,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est11,2015,1565,298,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",greater than 50%
T9_est12,2015,110,76,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",not computed (no/negative income)
T9_est13,2015,2425,202,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Owner occupied,"Asian alone, non-Hispanic",All
T9_est14,2015,1625,188,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Asian alone, non-Hispanic",less than or equal to 30%
T9_est15,2015,495,126,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Asian alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est16,2015,305,123,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Asian alone, non-Hispanic",greater than 50%
T9_est17,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Asian alone, non-Hispanic",not computed (no/negative income)
T9_est18,2015,190,108,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",All
T9_est19,2015,120,64,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",less than or equal to 30%
T9_est20,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est21,2015,65,96,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 50%
T9_est22,2015,4,10,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",not computed (no/negative income)
T9_est23,2015,30,36,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Owner occupied,"Pacific Islander alone, non-Hispanic",All
T9_est24,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",less than or equal to 30%
T9_est25,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est26,2015,30,36,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",greater than 50%
T9_est27,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",not computed (no/negative income)
T9_est28,2015,3815,352,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Owner occupied,"Hispanic, any race",All
T9_est29,2015,2395,310,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Hispanic, any race",less than or equal to 30%
T9_est30,2015,955,252,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Hispanic, any race",greater than 30% but less than or equal to 50%
T9_est31,2015,350,131,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Hispanic, any race",greater than 50%
T9_est32,2015,115,116,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"Hispanic, any race",not computed (no/negative income)
T9_est33,2015,1135,199,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Owner occupied,"other (including multiple races, non-Hispanic)",All
T9_est34,2015,915,172,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",less than or equal to 30%
T9_est35,2015,115,68,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",greater than 30% but less than or equal to 50%
T9_est36,2015,105,73,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",greater than 50%
T9_est37,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",not computed (no/negative income)
T9_est38,2015,27645,928,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Renter occupied,All,All
T9_est39,2015,14620,753,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Renter occupied,"White alone, non-Hispanic",All
T9_est40,2015,8260,556,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"White alone, non-Hispanic",less than or equal to 30%
T9_est41,2015,3095,334,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"White alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est42,2015,3120,407,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"White alone, non-Hispanic",greater than 50%
T9_est43,2015,140,75,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"White alone, non-Hispanic",not computed (no/negative income)
T9_est44,2015,8605,502,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Renter occupied,"Black or African-American alone, non-Hispanic",All
T9_est45,2015,4505,405,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",less than or equal to 30%
T9_est46,2015,2050,303,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est47,2015,1865,336,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",greater than 50%
T9_est48,2015,180,92,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",not computed (no/negative income)
T9_est49,2015,665,155,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Renter occupied,"Asian alone, non-Hispanic",All
T9_est50,2015,425,134,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Asian alone, non-Hispanic",less than or equal to 30%
T9_est51,2015,165,77,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Asian alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est52,2015,60,40,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Asian alone, non-Hispanic",greater than 50%
T9_est53,2015,20,25,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Asian alone, non-Hispanic",not computed (no/negative income)
T9_est54,2015,120,71,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",All
T9_est55,2015,35,42,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",less than or equal to 30%
T9_est56,2015,85,65,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est57,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 50%
T9_est58,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",not computed (no/negative income)
T9_est59,2015,4,7,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Renter occupied,"Pacific Islander alone, non-Hispanic",All
T9_est60,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",less than or equal to 30%
T9_est61,2015,4,7,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est62,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",greater than 50%
T9_est63,2015,0,28,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",not computed (no/negative income)
T9_est64,2015,2875,345,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Renter occupied,"Hispanic, any race",All
T9_est65,2015,1395,282,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Hispanic, any race",less than or equal to 30%
T9_est66,2015,720,186,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Hispanic, any race",greater than 30% but less than or equal to 50%
T9_est67,2015,630,172,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Hispanic, any race",greater than 50%
T9_est68,2015,130,101,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"Hispanic, any race",not computed (no/negative income)
T9_est69,2015,755,216,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Subtotal,Renter occupied,"other (including multiple races, non-Hispanic)",All
T9_est70,2015,440,172,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",less than or equal to 30%
T9_est71,2015,205,123,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",greater than 30% but less than or equal to 50%
T9_est72,2015,110,85,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",greater than 50%
T9_est73,2015,4,1,2011thru2015,050,05000US51041,Chesterfield County, Virginia,51,041,51041,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",not computed (no/negative income)
T9_est1,2015,8150,213,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Total,Total: Occupied housing units,All,All
T9_est2,2015,7090,276,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Subtotal,Owner occupied,All,All
T9_est3,2015,5900,216,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Subtotal,Owner occupied,"White alone, non-Hispanic",All
T9_est4,2015,4735,275,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"White alone, non-Hispanic",less than or equal to 30%
T9_est5,2015,645,177,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"White alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est6,2015,515,134,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"White alone, non-Hispanic",greater than 50%
T9_est7,2015,10,13,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"White alone, non-Hispanic",not computed (no/negative income)
T9_est8,2015,985,143,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Subtotal,Owner occupied,"Black or African-American alone, non-Hispanic",All
T9_est9,2015,660,138,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",less than or equal to 30%
T9_est10,2015,205,101,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est11,2015,115,58,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",greater than 50%
T9_est12,2015,0,22,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",not computed (no/negative income)
T9_est13,2015,90,29,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Subtotal,Owner occupied,"Asian alone, non-Hispanic",All
T9_est14,2015,85,31,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"Asian alone, non-Hispanic",less than or equal to 30%
T9_est15,2015,0,22,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"Asian alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est16,2015,10,15,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"Asian alone, non-Hispanic",greater than 50%
T9_est17,2015,0,22,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"Asian alone, non-Hispanic",not computed (no/negative income)
T9_est18,2015,15,24,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Subtotal,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",All
T9_est19,2015,0,22,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",less than or equal to 30%
T9_est20,2015,15,24,2011thru2015,050,05000US51075,Goochland County, Virginia,51,075,51075,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 30% but less than or equal to 50%
