Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Household income,Household type,Cost burden
T7_est52,2015,4,8,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 30% but less than or equal to 50%
T7_est53,2015,4,5,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 50%
T7_est54,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,other household type (non-elderly non-family),housing cost burden not computed (household has no/negative income)
T7_est55,2015,480,70,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,All,All
T7_est56,2015,115,33,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",All
T7_est57,2015,75,24,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is less than or equal to 30%
T7_est58,2015,20,14,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est59,2015,15,16,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 50%
T7_est60,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden not computed (household has no/negative income)
T7_est61,2015,175,44,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",All
T7_est62,2015,110,34,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is less than or equal to 30%
T7_est63,2015,60,29,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est64,2015,4,6,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 50%
T7_est65,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden not computed (household has no/negative income)
T7_est66,2015,25,16,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is large family (5 or more persons),All
T7_est67,2015,15,11,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is large family (5 or more persons),housing cost burden is less than or equal to 30%
T7_est68,2015,10,13,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 30% but less than or equal to 50%
T7_est69,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 50%
T7_est70,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is large family (5 or more persons),housing cost burden not computed (household has no/negative income)
T7_est71,2015,85,34,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is elderly non-family,All
T7_est72,2015,55,24,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is elderly non-family,housing cost burden is less than or equal to 30%
T7_est73,2015,10,11,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is elderly non-family,housing cost burden is greater than 30% but less than or equal to 50%
T7_est74,2015,20,23,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is elderly non-family,housing cost burden is greater than 50%
T7_est75,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,household type is elderly non-family,housing cost burden not computed (household has no/negative income)
T7_est76,2015,80,40,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,other household type (non-elderly non-family),All
T7_est77,2015,55,36,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,other household type (non-elderly non-family),housing cost burden is less than or equal to 30%
T7_est78,2015,20,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 30% but less than or equal to 50%
T7_est79,2015,4,6,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 50%
T7_est80,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 50% but less than or equal to 80% of HAMFI,other household type (non-elderly non-family),housing cost burden not computed (household has no/negative income)
T7_est81,2015,255,50,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,All,All
T7_est82,2015,55,24,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",All
T7_est83,2015,35,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is less than or equal to 30%
T7_est84,2015,10,14,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est85,2015,10,11,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 50%
T7_est86,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden not computed (household has no/negative income)
T7_est87,2015,90,26,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",All
T7_est88,2015,80,26,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is less than or equal to 30%
T7_est89,2015,4,13,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est90,2015,4,5,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 50%
T7_est91,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden not computed (household has no/negative income)
T7_est92,2015,25,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is large family (5 or more persons),All
T7_est93,2015,20,20,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is large family (5 or more persons),housing cost burden is less than or equal to 30%
T7_est94,2015,4,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 30% but less than or equal to 50%
T7_est95,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 50%
T7_est96,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is large family (5 or more persons),housing cost burden not computed (household has no/negative income)
T7_est97,2015,60,35,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is elderly non-family,All
T7_est98,2015,45,33,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is elderly non-family,housing cost burden is less than or equal to 30%
T7_est99,2015,10,16,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is elderly non-family,housing cost burden is greater than 30% but less than or equal to 50%
T7_est100,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is elderly non-family,housing cost burden is greater than 50%
T7_est101,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,household type is elderly non-family,housing cost burden not computed (household has no/negative income)
T7_est102,2015,25,16,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,other household type (non-elderly non-family),All
T7_est103,2015,25,14,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,other household type (non-elderly non-family),housing cost burden is less than or equal to 30%
T7_est104,2015,4,1,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 30% but less than or equal to 50%
T7_est105,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 50%
T7_est106,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 80% but less than or equal to 100% of HAMFI,other household type (non-elderly non-family),housing cost burden not computed (household has no/negative income)
T7_est107,2015,1070,80,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 100% of HAMFI,All,All
T7_est108,2015,280,48,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",All
T7_est109,2015,260,47,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is less than or equal to 30%
T7_est110,2015,15,13,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est111,2015,4,9,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 50%
T7_est112,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden not computed (household has no/negative income)
T7_est113,2015,535,59,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",All
T7_est114,2015,500,61,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is less than or equal to 30%
T7_est115,2015,35,23,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est116,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 50%
T7_est117,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden not computed (household has no/negative income)
T7_est118,2015,35,16,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 100% of HAMFI,household type is large family (5 or more persons),All
T7_est119,2015,35,16,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,household type is large family (5 or more persons),housing cost burden is less than or equal to 30%
T7_est120,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 30% but less than or equal to 50%
T7_est121,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 50%
T7_est122,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 100% of HAMFI,household type is large family (5 or more persons),housing cost burden not computed (household has no/negative income)
